global_id,ID,название,IsNetObject,OperatingCompany,TypeObject,округ,район,адрес,телефон,SeatsCount,SocialPrivileges,Longitude_WGS84,Latitude_WGS84,geoData
637533805,000023109,РЕСТОРАН «ТУРИСТ»,нет,,ресторан,Северо-Восточный,Ростокино,"город Москва, Сельскохозяйственная улица, дом 17, корпус 3",(499) 187-68-18,130,нет,37.6338813350850000,55.8376875777699000,"{type=Point, coordinates=[37.633881335085, 55.8376875777699]}"
637533821,000071392,Джаганнат,да,Джаганнат,ресторан,Центральный,Мещанский,"город Москва, улица Кузнецкий Мост, дом 11, строение 1",(495) 628-35-80,45,нет,37.6219630626100000,55.7621413964318000,"{type=Point, coordinates=[37.62196306261, 55.7621413964318]}"
637533836,000026003,Мадам Галифе,нет,,ресторан,Центральный,Мещанский,"город Москва, проспект Мира, дом 26, строение 1",(495) 775-26-01,60,нет,37.6334233296111000,55.7773893617073000,"{type=Point, coordinates=[37.6334233296111, 55.7773893617073]}"
637533865,000025758,Ресторан «ПИККОЛО ДИАБОЛО»,нет,,ресторан,Северо-Восточный,Алексеевский,"город Москва, проспект Мира, дом 150",(495) 234-15-10,150,нет,37.6470728563115810,55.8225312527498620,"{type=Point, coordinates=[37.64707285631158, 55.82253125274986]}"
637533868,000027015,БАНКЕТНЫЙ ЗАЛ «ГАЛАКТИКА»,нет,,ресторан,Северо-Восточный,Алексеевский,"город Москва, проспект Мира, дом 150",(495) 234-14-62,250,нет,37.6470728563115810,55.8225312527498620,"{type=Point, coordinates=[37.64707285631158, 55.82253125274986]}"
637533870,000027016,БАНКЕТНЫЙ ЗАЛ «ВЕЧЕРНИЙ-КОСМОС»,нет,,ресторан,Северо-Восточный,Алексеевский,"город Москва, проспект Мира, дом 150",(495) 234-14-62,250,нет,37.6470728563115810,55.8225312527498620,"{type=Point, coordinates=[37.64707285631158, 55.82253125274986]}"
637533871,000027017,РЕСТОРАН «КАЛИНКА»,нет,,ресторан,Северо-Восточный,Алексеевский,"город Москва, проспект Мира, дом 150",(495) 264-12-62,127,нет,37.6470728563115810,55.8225312527498620,"{type=Point, coordinates=[37.64707285631158, 55.82253125274986]}"
637533873,000027110,Ресторан «Золотые пруды»,нет,,ресторан,Северо-Восточный,Алексеевский,"город Москва, проспект Мира, дом 150",(495) 234-11-37,47,нет,37.6470728563115810,55.8225312527498620,"{type=Point, coordinates=[37.64707285631158, 55.82253125274986]}"
637533890,000022479,Антракт,нет,,ресторан,Центральный,Мещанский,"город Москва, Пушечная улица, дом 9/6, строение 1",(495) 924-25-36,10,нет,37.6244505746472200,55.7610336039642080,"{type=Point, coordinates=[37.62445057464722, 55.76103360396421]}"
637533909,000026000,Савой,нет,,ресторан,Центральный,Мещанский,"город Москва, улица Рождественка, дом 3/6, строение 1",(495) 926-86-00,90,нет,37.6233955846854000,55.7602877108125000,"{type=Point, coordinates=[37.6233955846854, 55.7602877108125]}"
637533912,000074687,Кавказская пленница,нет,,ресторан,Центральный,Мещанский,"город Москва, проспект Мира, дом 36, строение 1",(495) 680-51-77,100,нет,37.6334368149367000,55.7789502123840000,"{type=Point, coordinates=[37.6334368149367, 55.778950212384]}"
637533920,000072293,Чайхона №1,да,Чайхона №1,ресторан,Центральный,Мещанский,"город Москва, проспект Мира, дом 28",(495) 234-02-34,90,нет,37.6334297670843000,55.7779594842714000,"{type=Point, coordinates=[37.6334297670843, 55.7779594842714]}"
637533930,000025850,Ресторан «Бакинская жемчужина»,нет,,ресторан,Северо-Восточный,Останкинский,"город Москва, Звёздный бульвар, дом 24",(495) 602-37-12,80,нет,37.6284220443795000,55.8150318336316000,"{type=Point, coordinates=[37.6284220443795, 55.8150318336316]}"
637533942,000026006,Ресторан «САНДУНОВСКИЕ БАНИ»,нет,,ресторан,Центральный,Мещанский,"город Москва, Неглинная улица, дом 14, строение 4",(495) 928-42-03,86,нет,37.6213671212142000,55.7644197318312000,"{type=Point, coordinates=[37.6213671212142, 55.7644197318312]}"
637533976,000026556,Ресторан «Трио»,нет,,ресторан,Северо-Восточный,Алексеевский,"город Москва, Ярославская улица, дом 15, корпус 2",(495) 980-60-00,95,нет,37.6467760000000000,55.8191720000000000,"{type=Point, coordinates=[37.646776, 55.819172]}"
637533987,00125121,Garnets & Рассольников,нет,,ресторан,Центральный,Мещанский,"город Москва, проспект Мира, дом 68, строение 1А",(495) 680-39-45,104,нет,37.6358785918603830,55.7877339841808820,"{type=Point, coordinates=[37.63587859186038, 55.78773398418088]}"
637534005,00108082,Грабли,да,Грабли,ресторан,Центральный,Мещанский,"город Москва, Театральный проезд, дом 5, строение 1",(903) 130-74-85,400,нет,37.6248670072101560,55.7601616050110850,"{type=Point, coordinates=[37.624867007210156, 55.760161605011085]}"
637534041,000020044,Гранд Фэмили,нет,,ресторан,Западный,Фили-Давыдково,"город Москва, улица Герасима Курина, дом 10",(495) 146-34-13,155,нет,37.4814396725725000,55.7326926077177000,"{type=Point, coordinates=[37.4814396725725, 55.7326926077177]}"
637534049,000022843,СЕЗАМ ЧАЙХАНА,нет,,ресторан,Новомосковский,поселение Марушкинское,"город Москва, Рябиновая улица, дом 14",(495) 446-67-70,80,нет,37.2128241763302010,55.5932010001817360,"{type=Point, coordinates=[37.2128241763302, 55.593201000181736]}"
637534055,000020133,Beaver pap,нет,,ресторан,Западный,Фили-Давыдково,"город Москва, улица Герасима Курина, дом 6",(499) 146-25-15,90,нет,37.4733407498967000,55.7329966333216000,"{type=Point, coordinates=[37.4733407498967, 55.7329966333216]}"
637534140,00121372,ВОСТОЧНАЯ СКАЗКА,нет,,ресторан,Западный,Можайский,"город Москва, Беловежская улица, дом 15, корпус 2",(965) 130-84-84,95,нет,37.3972191775714860,55.7143952020451750,"{type=Point, coordinates=[37.397219177571486, 55.714395202045175]}"
637534150,000020549,ГУК ГОСУДАРСТВЕННЫЙ ТЕАТР КИНОАКТЕРА,нет,,ресторан,Центральный,Арбат,"город Москва, Поварская улица, дом 33, строение 1",(495) 290-19-23,10,нет,37.5862428593612920,55.7568524198358520,"{type=Point, coordinates=[37.58624285936129, 55.75685241983585]}"
637534158,00127987,Белый,нет,,ресторан,Центральный,Арбат,"город Москва, улица Арбат, дом 55/32",(985) 922-20-62,100,нет,37.5854008187900560,55.7471293772492160,"{type=Point, coordinates=[37.585400818790056, 55.747129377249216]}"
637534167,000026723,ДОМ АКТЕРА,нет,,ресторан,Центральный,Арбат,"город Москва, улица Арбат, дом 35",(495) 248-28-89,48,нет,37.5918398810393550,55.7489815459180850,"{type=Point, coordinates=[37.591839881039355, 55.748981545918085]}"
637534199,00124533,Хинкальная Легенда,нет,,ресторан,Центральный,Арбат,"город Москва, улица Арбат, дом 12, строение 2",(903) 148-04-89,35,нет,37.5955003310058590,55.7509283432765980,"{type=Point, coordinates=[37.59550033100586, 55.7509283432766]}"
637534210,00125359,Блюм кафе,нет,,ресторан,Центральный,Арбат,"город Москва, Большой Кисловский переулок, дом 1, строение 2",(495) 363-17-40,34,нет,37.6055678397103890,55.7537403409148600,"{type=Point, coordinates=[37.60556783971039, 55.75374034091486]}"
637534218,000026732,ВЕНЕЦИЯ,да,Венеция,ресторан,Центральный,Арбат,"город Москва, улица Арбат, дом 38/1, строение 1",(499) 241-00-47,150,нет,37.5879959774391420,55.7485975037827970,"{type=Point, coordinates=[37.58799597743914, 55.7485975037828]}"
637534219,000027211,ШАШЛЫК-МАШЛЫК,да,ШАШЛЫК-МАШЛЫК,ресторан,Центральный,Арбат,"город Москва, улица Арбат, дом 38/1, строение 1",(499) 241-39-43,70,нет,37.5879959774391420,55.7485975037827970,"{type=Point, coordinates=[37.58799597743914, 55.7485975037828]}"
637534222,00128035,Бабель,нет,,ресторан,Центральный,Арбат,"город Москва, 1-й Николощеповский переулок, дом 6, строение 2",(499) 110-66-60,140,нет,37.5805440000000000,55.7487060000000000,"{type=Point, coordinates=[37.580544, 55.748706]}"
637534224,000078275,Ля Марэ,нет,,ресторан,Центральный,Арбат,"город Москва, Проточный переулок, дом 7",(495) 921-22-22,150,нет,37.5805890715242010,55.7501907701255850,"{type=Point, coordinates=[37.5805890715242, 55.750190770125585]}"
637534241,000027024,РУМ СЕРВИС,нет,,ресторан,Западный,Дорогомилово,"город Москва, Кутузовский проспект, дом 2/1, строение 1",(495) 221-55-55,1200,нет,37.5656891431648390,55.7514780408925220,"{type=Point, coordinates=[37.56568914316484, 55.75147804089252]}"
637534243,000026336,ТАТЛЕР КЛАБ,нет,,ресторан,Западный,Дорогомилово,"город Москва, Кутузовский проспект, дом 2/1, строение 1",(495) 254-23-34,200,нет,37.5656260578916000,55.7519056476043000,"{type=Point, coordinates=[37.5656260578916, 55.7519056476043]}"
637534244,000026333,РЕСТОРАН БАНКЕТНОГО ОБСЛУЖИВАНИЯ,нет,,ресторан,Западный,Дорогомилово,"город Москва, Кутузовский проспект, дом 2/1, строение 1",(495) 221-55-55,200,нет,37.5657461135931000,55.7517770412482000,"{type=Point, coordinates=[37.5657461135931, 55.7517770412482]}"
637534246,000026334,РЕСТОРАН ВЕРАНДА,нет,,ресторан,Западный,Дорогомилово,"город Москва, Кутузовский проспект, дом 2/1, строение 1",(495) 221-55-55,200,нет,37.5660789036351000,55.7512337976054000,"{type=Point, coordinates=[37.5660789036351, 55.7512337976054]}"
637534275,00152298,Фудмаркет. Колышевская,нет,,ресторан,Центральный,Арбат,"город Москва, улица Новый Арбат, дом 21",(495) 671-73-87,0,нет,37.5854989850007970,55.7519932476776460,"{type=Point, coordinates=[37.5854989850008, 55.751993247677646]}"
637534277,00152299,Фудмаркет. Грачева,нет,,ресторан,Центральный,Арбат,"город Москва, улица Новый Арбат, дом 21",(495) 671-73-87,0,нет,37.5854989850007970,55.7519932476776460,"{type=Point, coordinates=[37.5854989850008, 55.751993247677646]}"
637534283,00152305,Фудмаркет. Шапиро,нет,,ресторан,Центральный,Арбат,"город Москва, улица Новый Арбат, дом 21",(495) 671-73-87,0,нет,37.5854989850007970,55.7519932476776460,"{type=Point, coordinates=[37.5854989850008, 55.751993247677646]}"
637534286,00152307,Фудмаркет. Салпагарова,нет,,ресторан,Центральный,Арбат,"город Москва, улица Новый Арбат, дом 21",(495) 671-73-87,0,нет,37.5854989850007970,55.7519932476776460,"{type=Point, coordinates=[37.5854989850008, 55.751993247677646]}"
637534289,00152846,Steak it easy,нет,,ресторан,Центральный,Арбат,"город Москва, улица Новый Арбат, дом 21",(495) 308-95-60,49,нет,37.5854989850007970,55.7519932476776460,"{type=Point, coordinates=[37.5854989850008, 55.751993247677646]}"
637534294,00127892,Чайхона №1,да,Чайхона №1,ресторан,Центральный,Арбат,"город Москва, улица Новый Арбат, дом 21",(495) 507-00-21,95,нет,37.5854989850007970,55.7519932476776460,"{type=Point, coordinates=[37.5854989850008, 55.751993247677646]}"
637534301,00152255,Фудмаркет.Швыдкой,нет,,ресторан,Центральный,Арбат,"город Москва, улица Новый Арбат, дом 21",(495) 671-73-87,0,нет,37.5854989850007970,55.7519932476776460,"{type=Point, coordinates=[37.5854989850008, 55.751993247677646]}"
637534307,00152222,Фудмаркет.Паритова,нет,,ресторан,Центральный,Арбат,"город Москва, улица Новый Арбат, дом 21",(495) 671-73-87,0,нет,37.5854989850007970,55.7519932476776460,"{type=Point, coordinates=[37.5854989850008, 55.751993247677646]}"
637534309,00152224,Фудмаркет. Рогачикова,нет,,ресторан,Центральный,Арбат,"город Москва, улица Новый Арбат, дом 21",(495) 671-73-87,0,нет,37.5854989850007970,55.7519932476776460,"{type=Point, coordinates=[37.5854989850008, 55.751993247677646]}"
637534314,00152216,Фудмаркет. Галичкин,нет,,ресторан,Центральный,Арбат,"город Москва, улица Новый Арбат, дом 21",(495) 671-73-87,0,нет,37.5854989850007970,55.7519932476776460,"{type=Point, coordinates=[37.5854989850008, 55.751993247677646]}"
637534315,00098711,Барашка,да,Барашка,ресторан,Центральный,Арбат,"город Москва, улица Новый Арбат, дом 21",(495) 228-37-30,96,нет,37.5855933925953710,55.7519933029514120,"{type=Point, coordinates=[37.58559339259537, 55.75199330295141]}"
637534330,000027276,ГЕНАЦВАЛИ,да,ГЕНАЦВАЛИ,ресторан,Центральный,Арбат,"город Москва, улица Новый Арбат, дом 11, строение 2",(495) 697-94-53,144,нет,37.5964002633609000,55.7518139393311000,"{type=Point, coordinates=[37.5964002633609, 55.7518139393311]}"
637534336,000022462,Хинкальная,да,Хинкальная,ресторан,Центральный,Арбат,"город Москва, Никитский бульвар, дом 7, строение 3",(495) 691-65-29,48,нет,37.5994530000000040,55.7535607567043240,"{type=Point, coordinates=[37.599453000000004, 55.753560756704324]}"
637534356,000069883,Good chillout коллекция,нет,,ресторан,Западный,Дорогомилово,"город Москва, Кутузовский проспект, дом 36А",(495) 221-81-93,92,нет,37.5266041027649000,55.7387668559620000,"{type=Point, coordinates=[37.5266041027649, 55.738766855962]}"
637534357,00143405,Фу Сян,нет,,ресторан,Западный,Дорогомилово,"город Москва, Кутузовский проспект, дом 36А",(499) 499-01-59,50,нет,37.5262594354311640,55.7387699937759390,"{type=Point, coordinates=[37.526259435431164, 55.73876999377594]}"
637534362,000069875,КЛУБ 18 12,нет,,ресторан,Западный,Дорогомилово,"город Москва, улица 1812 Года, дом 2, корпус 2",(495) 781-17-60,40,нет,37.5246291417139000,55.7356653901348000,"{type=Point, coordinates=[37.5246291417139, 55.7356653901348]}"
